"Channel 1_x","Channel 1_y"
15.35329199,29,
15.36579514,29,
15.37792802,29,
15.38599801,29,
15.39825797,28,
15.40650487,29,
15.4187541,29,
15.431777,29,
15.43926287,29,
15.45068288,29,
15.46086812,29,
15.46791816,29,
15.48093104,29,
15.49264693,29,
15.50071096,29,
15.51293111,29,
15.52119708,29,
15.53342485,29,
15.54181814,29,
15.55392885,28,
15.56529188,29,
15.57451296,29,
15.58667588,29,
15.59828615,29,
15.607337,29,
15.61728096,29,
15.62772703,29,
15.63587999,29,
15.64874601,28,
15.65652609,29,
15.66864896,29,
15.68160677,28,
15.68910694,29,
15.70135093,29,
15.71441793,29,
15.72186112,29,
15.73391294,28,
15.74249291,29,
15.75166011,29,
15.76441693,29,
15.77100205,29,
15.78331804,29,
15.79555678,29,
15.8038578,28,
15.81603885,29,
15.8244009,28,
15.83664989,29,
15.84869599,29,
15.85716295,29,
15.86742806,29,
15.87758589,29,
15.88998795,29,
15.90000105,29,
15.91037202,28,
15.91847992,29,
15.93144703,29,
15.939013,29,
15.95121193,29,
15.9642911,29,
15.97170305,29,
15.98396492,29,
15.99233985,29,
16.00448418,29,
16.01569414,29,
16.02505398,29,
16.03387117,29,
16.04540706,29,
16.05363202,29,
16.06592798,29,
16.07431984,29,
16.08638787,29,
16.09863973,29,
16.10705686,29,
16.11910605,29,
16.13217092,29,
16.13979697,28,
16.15000796,29,
16.1603179,29,
16.16832399,29,
16.18170285,29,
16.19298291,29,
16.20106602,29,
16.21549797,29,
16.22207403,29,
16.23384094,29,
16.24227786,29,
16.25432181,29,
16.26575398,29,
16.27492189,29,
16.28708196,29,
16.29846501,28,
16.30771089,28,
16.31687593,29,
16.32814789,29,
16.33625388,29,
16.34870195,29,
16.35705709,29,
16.36898685,29,
16.381845,29,
16.38965893,28,
16.40172791,29,
16.41489005,29,
16.42222095,29,
16.43381,29,
16.44287992,29,
16.45092773,29,
16.46378398,29,
16.471421,28,
16.48367,29,
16.49593902,29,
16.50421715,29,
16.51643109,29,
16.524858,29,
16.53696418,29,
16.54865503,29,
16.55756903,29,
16.56687093,28,
16.57799292,29,
16.59033799,29,
16.60014582,29,
16.61075187,29,
16.61883497,29,
16.63151789,29,
16.63933897,29,
16.65160179,28,
16.66497588,29,
16.67209601,29,
16.68377185,29,
16.69282889,29,
16.70484781,29,
16.71620989,29,
16.7254231,29,
16.73359799,29,
16.74580979,29,
16.75406313,29,
16.766294,29,
16.77462888,29,
16.78677988,29,
16.79905295,28,
16.80746388,29,
16.81956291,29,
16.83165288,29,
16.8401978,29,
16.85017586,29,
16.86062193,29,
16.86874104,29,
16.88158298,29,
16.89340687,29,
16.901443,29,
16.91460896,29,
16.92195296,29,
16.93422794,29,
16.94727898,29,
16.95471096,29,
16.96623993,29,
16.97533107,29,
16.98461199,29,
16.99723101,29,
17.00801897,29,
17.01666999,29,
17.02840805,29,
17.03667998,29,
17.04889488,28,
17.0573349,29,
17.06939602,29,
17.08182192,29,
17.09022307,29,
17.10211205,29,
17.11495304,30,
17.12261391,28,
17.13392591,28,
17.14324403,29,
17.15134096,29,
17.16471291,29,
17.17178488,29,
17.18409705,29,
17.19634891,28,
17.20468616,29,
17.21680593,28,
17.22567987,29,
17.23734808,29,
17.24872708,29,
17.25797606,29,
17.26722097,28,
17.27827096,29,
17.29070783,29,
17.29994082,29,
17.31115603,29,
17.3192451,29,
17.33153796,29,
17.33974195,29,
17.35201883,29,
17.36512995,28,
17.37268877,29,
17.38475013,28,
17.39780402,29,
17.405231,29,
17.41696191,29,
17.42583299,29,
17.43408203,29,
17.44620013,29,
17.45444083,29,
17.4666822,29,
17.47506881,29,
17.48718905,29,
17.49945998,29,
17.50792289,29,
17.51991296,29,
17.53152585,29,
17.54072285,28,
17.55064297,29,
17.56101394,29,
